9031_GENEID,9606_GENEID
771092,7484
421192,7514
427325,7518
423455,7528
396070,7541
418596,7543
374103,7545
395731,7555
772107,7629
396541,7709
419615,7802
421877,7803
395571,7855
424808,7857
395126,7874
420828,7913
423107,8045
418969,8065
418256,8076
428904,8111
427966,8204
395786,8312
416776,8318
378788,8323
373886,8326
100859903,8372
426732,8382
419999,8396
418028,8398
c(416425, 418356),8399
416800,8408
421137,8439
422364,8450
424804,8452
420467,8453
420783,8454
417570,8456
416910,8459
417546,8460
421934,8462
428167,6790
417460,8468
423395,8477
419324,8480
418633,8481
415298,8482
415533,8483
420658,9497
769998,8490
425965,8491
418219,8496
424328,8502
429096,8503
421669,8504
428309,8506
427203,8507
417018,8508
427375,8518
374037,8520
404300,8521
770911,8526
396371,8531
395266,8532
416504,8533
428866,8534
395354,8535
419338,8537
395714,8538
424135,8540
770224,8545
416108,8553
419036,8559
424041,8564
419666,8565
418549,8566
395643,8572
418565,8573
419471,8574
429036,8576
771559,8578
428067,8600
395646,8601
422885,8603
429011,8609
100858471,8612
416208,8614
422575,8615
416075,8618
427645,8622
418520,8624
426623,8625
395101,8633
424468,8634
771190,8636
420015,8639
419073,8642
421424,8645
395828,8646
395639,8650
416630,8651
428017,8660
423927,8661
769783,8662
771356,8664
423748,8665
101747413,8666
420288,8667
419653,8668
425544,8672
419315,8675
428597,8676
420018,8678
430495,8698
100858795,64976
396122,8704
415700,8717
415704,8720
417286,8721
427330,401548
415759,8725
426381,8726
100858912,8727
421046,8731
378921,8737
417900,8738
378894,8743
424099,8745
423146,8772
421051,8774
422387,8776
427360,8777
421074,8780
428140,8785
417433,8787
423459,8788
100533998,8790
769909,8792
101751260,8796
416087,8801
418857,8803
101750396,8807
418717,8809
374136,9173
770030,8811
419349,8813
395453,8817
418690,3631
374157,8828
395560,8829
427663,8834
395219,8835
421144,8836
419192,8839
420322,8840
768599,8853
418746,8858
395952,8861
407775,8869
418761,8874
423714,8879
418735,8881
428256,8882
424036,8888
424948,8893
395295,8894
416492,8896
418621,8905
424528,8915
770153,53615
497269,8932
420629,8935
421761,8936
418003,6767
416771,8940
100857507,8941
424302,8942
420079,8943
c(425662, 425664, 100857226, 100859776),8991
768854,8992
422141,9016
418441,9019
419964,9020
395299,9021
423788,9023
421435,9025
429205,9028
420931,9037
426073,9039
396034,9172
422095,9043
100857332,9046
395123,9049
417960,9052
427830,9058
426932,8424
395574,5076
100859339,4882
396033,4790
427446,9180
428083,2706
422013,109
396091,471
770231,475
c(374159, 431564),498
424575,533
414830,567
395673,597
423971,664
419927,705
418198,719
424517,56267
416161,900
374106,1027
770246,1173
100859555,1175
396108,1417
426238,1639
396351,1791
770828,1892
395625,1948
423279,1965
426773,1978
423923,2018
395716,2070
428543,2202
769635,2232
769677,2237
414831,2258
421186,2289
100858422,2322
771999,2791
417382,2873
423898,3026
395301,3779
420135,4650
416962,4733
100858827,5576
415410,5873
424822,5948
415790,6236
395758,6389
416520,6470
423156,6506
416947,6634
373915,6720
424190,10010
423458,7453
428688,9131
416548,9143
420276,9166
416158,9232
101750338,9258
416626,9265
100857976,9294
421020,9306
420838,9308
770254,9314
420798,9319
423655,221037
427787,9340
428281,9343
428985,2834
422839,9364
422187,51209
422108,9368
427365,9373
420423:420422,9390
418724,9392
424521,9403
418216,9412
423122,9415
429123,9435
419000,9440
417172,9442
100857575,9443
427181,9456
396018,9469
423314,9472
419926,9477
417600,9487
417718,9512
420865,9521
423931,9531
418022,9567
429052,9595
427253,9615
417577,9618
422326,22
374094,7046
428786,399
769109,407
420967,573
418456,607
416952,613
424212,617
415379,663
419522,665
396239,673
422828,683
420217,734
421044,753
420545,754
422512,901
414741,972
427134,54926
427549,1050
425295,1181
769278,1235
100216000,1265
395875,1303
426906,1314
416978,1337
770638,1353
374211,1381
395099,1385
396073,1482
424535,1486
425055,1582
100049058,1605
420923,1611
396496,1627
419783,1656
419451,1676
374158,1677
420623,1687
424843,4735
420520,1787
374192,1843
423890,1847
416560,1877
395896,1947
421177,1999
418174,2059
426130,2064
423262,2079
428724,2110
395749,2119
424810,2181
424187,1803
100859604,2193
422038,2222
770457,2250
395432,2255
418795,2262
395255,2277
768789,2304
419010,10003
422726,2483
427782,2529
421540,2590
771582,2786
427766,2801
424183,2888
770910,2958
776936,3068
420459,3422
374018,3611
427156,3796
423809,3832
422127,3993
416027,4171
395533,4222
424404,4259
386583,4313
425457,4606
419249,4661
427968,4685
772150,4694
418118,4708
769954,4710
416543,4716
423179,4722
421577,5071
396457,5106
422480,5188
423271,5283
418181,5288
418542,5316
418130,5318
424723,5876
419776,6327
426060,6341
395082,6364
424358,6738
416367,6902
396432,7052
427551,7084
771806,7104
