GENEID_33169,GENEID_9606
4620805,9453
4623111,5018
4620332,5481
4620110,11222
4620340,11224
4623217,1854
4620543,439
4622621,27000
4621042,26751
4620833,25874
4620001,55164
4623013,1432
4618587,28987
4618471,4357
4621606,112812
4621699,140711
4620787,9044
4620620,57380
4620298,51218
4620112,6132
4623236,28960
4618964,84725
4619704,51727
4621267,54949
4621877,55300
4621062,79947
4620267,80148
4623266,27440
4620952,55244
4620908,91647
4620651,8724
4619279,5861
4622333,9093
4618600,9520
4621282,9524
4621549,8623
4619441,57546
4622976,c(875, 102724560)
4620875,1201
4623222,6901
4622014,3988
4620705,6135
4619755,6146
4623320,4047
4619084,6224
4621999,6231
4621768,991
4621988,2664
4621052,513
4619716,2752
4618465,3418
4620123,10295
4620629,5315
4619333,5594
4622088,5714
4622175,5887
4620062,6118
4622023,6138
4618756,6187
4622838,6233
4619741,7357
4619984,7417
4622847,8607
4623054,8733
4620876,883
4620344,5516
4621509,8766
4618820,2539
4621637,6804
4620775,9525
4619457,9527
4622073:4622072,1797
4622529,4144
4621800,4801
4618676,10482
4618558,10556
4622836,10640
4622637,10945
4619676,11200
4622244,11260
4622679,6161
4621054,27340
4619728,79968
4623033,79726
4622783,10105
4620554,6500
4622216,1810
4622217,23160
4621387,6871
4622986,64802
4622912,51204
4619336,1622
4622499,7353
4622228,84779
4621464,8295
4622168,3313
4619146,654364
4619700,55003
4619560,64318
4620558,1340
4621914,4358
4623225,51560
4622600,145482
4621607,143187
4621594,10280
4622353,6880
4619186,9868
4621296,10072
4619962,79922
4620219,4173
4619890,6723
4620430,79050
4618537,6830
4619629,10681
4623034,51478
4623336,84916
4622947,22933
4619035,23408
4618421,23534
4618448,27166
4618618,440275
4621562,27257
4619373,4848
4622968,9688
4622889,23047
4620693,23137
4619025,23212
4623362,25813
4623306,51026
4620366,51659
4619270,55968
4621077,51529
4620061,55622
4622722,54987
4622568,55229
4621371,54555
4622336,64841
4623068,57515
4619456,366
4618945,58497
4622458,60481
4621449,64210
4620375,65083
4619574,161424
4620527,196294
4619539,84294
4621304,84337
4620438,94005
4619425,80335
4622157,114134
4620018,112840
4619660,29997
4621773,79042
4620439,91801
4618982,92170
4622920,127253
4622061,23233
4620374,51014
4622650,6168
4619722,3620
4619156,5756
4620739,8438
4619725,5581
4620518,7919
4618630,10857
4621987,57819
4619730,5605
4621989,494143
4618578,51236
4622369,79939
4623190,90956
4620309,8906
4619882,30001
4623059,55277
4621471,1983
4621561,84129
4620140,3070
4622378,23326
4622423,2203
4619485,217
4620421,1595
4622555,5034
4621184,5530
4622704,847
4622798,6813
4622426,29927
4620412,2771
4621735,1104
4619616,1460
4620466,1537
4620890,2098
4621446,4967
4619052,5063
4621590,5211
4619678,5225
4620933,5568
4621805,5595
4618950,5710
4622351,5905
4622363,6594
4623376:4623375,7064
4619125,7178
4621714,7336
4621741,8467
4622514,8671
4621932,8802
4621676,9212
4620401,2021
4619958,8653
4619039,9060
4619210,9107
4619620,9391
4621257,9429
4621338,5165
4620410,4191
4619403,4522
4619045,830
4618806,3337
4619992,10427
4622812,84532
4620662,89941
4619288,6652
4622840,51012
4618778,22919
4621774,491
4619584,5224
4620729,4542
4618594,79152
4620851,26958
4622495,10897
4621822,23012
4621452,120103
4618693,3954
4621459,23390
4623088,57194
4620704,5696
4621179,23603
4620734,27032
4620335,25956
4621204,26007
4621673,51388
4620054,55339
4621128,166378
4621763,57060
4623339,64854
4619037,64895
4618633,81555
4621000,79731
4621585,79982
4619335,94103
4622017,128866
4620916,148811
4619595,4625
4619376,128
4621182,3614
4621161,5534
4622672,9349
4622142,6142
4621245,6143
4622525,6167
4623263,5901
4620788,6203
4619486,6229
4623229,6234
4622179,955
4620967,1040
4623091,1105
4620979,527
4622815,2935
4619384,3921
4621926,5226
4621269,5537
4622975,6919
4622095,7311
4623012,8714
4619842,6199
4619043,9045
4621039,4677
4620250,9583
4623365,3065
4618994,9945
4618486,2678
4620376,7905
4622239,10096
4619626,10383
4621747,6513
4620479,10767
4621661,4736
4618943,10585
4619816,5518
4622863,51117
4621743,81929
4620958,80135
4621469,84961
4620750,114882
4621504,92856
4619996,440138
4622955,1663
4619241,387
4622265,84790
4622729,27235
4619527,51094
4621377,285195
4618835,115201
4618866,128240
4621253,3303:3304
4621628,3326
4618511,9133
4619281,71
4620303,1017
4621364,2026
4618692,1070
4619797,51312
4621684,1453
4620176,162417
4623090,80336
4622632,5476
4623035,3936
4620593,57521
4622796,89978
4619135,84068
4621809,23761
4620418,25766
4621895,51412
4622000,55844
4619512,94239
4622374,5836
4620842,79774
4623165,6194
4622766,55208
4620183,23327
4621694,6129
4618936,6205
4620944,5208
4620511,2931
4621384,6222
4619552,84812
4619941,6133
4619840,6191
4620462,1457
4623301,4141
4620656,2653
4618581,26100
4622222,28998
4621663,56681
4619792,6227
4620895,6208
4619167,26873
4619240,389
4618433,10801
4622841,51114
4618574,27030
4620096,5716
4620304,51144
4622089,3098
4620529,55692
4618495,5706
4619672,10524
4623075,7531
4619825,246175
4621828,1455
4622944,4218
4622173,143244
4621706,54629
4621592,10452
4621093,26330
4618613,7320
4621849,10486
4618539,9397
4621839,10120
4621010,7328
4619790,1973
4619440,5869
4622233,6155
4619674,116255
4621968,5499
4622283,51399
4619454,6130
4620341,10277
4620677,216
4620687,6209
4619636,6125
4620258,10204
4620672,6206
4618480,145226
4621388,6218
4621439,23521
4618841,122622
4619340,6154
4618816,2997
4621746,6157
4620911,6139
4621265,80308
4618918,55312
4622640,56474
4619211,83719
4619417,57016
4618501,8536
4621723,11180
4623071,5160
4621685,5566
4619579,206358
4621833,1359
4621130,6499
4622872,998
4618584,6136
4620789,6144
4622935,6207
4622885,5634
4622759,7167
