GENEID_10181,GENEID_9606
101718690,27095
101719605,9967
101726023,954
101702684,4065
101699242,51742
101716741,23596
101699726,10806
101718650,5798
101705986,55733
101705122,23095
101704542,2296
101720272,25771
101709558,23224
101717797,57475
101721413,10079
101706565,23626
101714097,140689
101707437,25884
101718413,23201
101718765,84957
101721890,2581
101703263,51602
101716618,26099
101711977,3757
101703786,8454
101724007,10827
101708581,26999
101698406,23118
101696432,116254
101724844,5610
101706807,57602
101698170,58508
101714807,55283
101703955,114800
101724249,23369
101719220,84545
101722643,3700
101724277,3697
101705414,54969
101723586,51663
101700487,55609
101703002,112885
101710804,7185
101700691,54542
101713914,55540
101721876,10758
101709254,8908
101704399,131566
101705829,6317
101725301,6646
101710970,5318
101709577,4438
101706917,2155
101718359,2665
101707985,639
101707624,9474
101711640,57458
101713946,57095
101711233,57504
101717563,8975
101725306,23200
101719910,3918
101697949,5218
101711449,29927
101700150,4659
101699491,5923
101718749,816
101718332,9696
101710118,55718
101699650,493
101698703,9877
101710648,55781
101706154,54432
101707743,55706
101726548,1608
101719469,84256
101715118,64718
101697368,6916
101698245,64761
101713177,5832
101701527,6894
101715571,5188
101697362,4084
101696844,5128
101717079,548645
101717970,5662
101696942,9150
101714720,8531
101711283,55359
101703182,65125
101703576,55749
101706934,11054
101721934,2769
101716849,55650
101725279,10076
101704694,9410
101709351,23504
101700649,1301
101714643,79832
101709554,51660
101713505,30
101714191,30
101720534,586
101713063,51564
101704547,11178
101720211,93166
101711747,7478
101714623,10787
101724704,60488
101714661,60488
101724888,2983
101713204,6433
101701156,10188
101718757,23041
101720155,1001
101698712,84649
101708915,7771
101710152,1431
101715763,4058
101726458,64951
101713990,63916
101702640,23063
101721487,81671
101699217,10513
101699680,5424
101722479,124925
101723081,1975
101703471,28968
101715900,29998
101720879,56848
101720539,6141
101719709,770
101703349,79763
101725252,11338
101723807,29924
101697551,55588
101709413,2928
101699372,8776
101701121,2817
101700463,57143
101725432,3029
101704194,6047
101702773,841
101699932,22998
101714718,55726
101713568,51768
101699052,1747
101719052,53340
101722674,10077
101706687,8839
101704743,58524
101706310,10402
101711379,9914
101724251,4804
101710761,50937
101712975,6873
101726036,28996
101712424,23534
101712628,8625
101711326,54929
101721970,9170
101720484,5476
101708674,10147
101705564,6558
101721154,28966
101711844,2139
101710418,1265
101721589,10347
101723267,9627
101699950,11218
101706036,53339
101701859,53339
101701162,55711
101717707,8537
101717367,5449
101707926,22904
101697717,10362
101711427,10203
101726744,6882
101726128,23294
101713323,8943
