10047_GENEID,9606_GENEID
110548379,5218
110562479,29927
110562480,29927
110558205,4659
110549494,5923
110546095,816
110542500,9696
110547851,55718
110546737,493
110546736,9877
110559509,55781
110564006,54432
110563992,55706
110548112,1608
110545971,84256
110548722,64718
110545795,6916
110545797,64761
110546305,5832
110555215,6894
110557868,5188
110547157,4084
110557440,548645
110556448,5662
110550279,9150
110560947,8531
110546052,65125
110557212,55749
110553524,11054
110554703,11054
110548505,2769
110555614,84699
110552377,55650
110548327,9410
110550160,23504
110554025,79832
110564991,51660
110555052,30
110555058,30
110558985,586
110546165,51564
110557635,11178
110559610,93166
110551101,7478
110550541,6676
110561167,10787
110553832,60488
110566016,2983
110563261,6433
110563262,6433
110547668,10188
110547666,10188
110548334,23041
110545967,1001
110546649,65056
110566217,84649
110559393,1431
110550595,4058
110546081,64951
110549229,63916
110548020,23063
110553749,81671
110555249,10513
110546863,5424
110546848,5424
110544515,124925
110552302,1975
110555207,29998
110555208,29998
110550495,56848
110550502,770
110561071,79763
110565753,11338
110565752,29924
110564731,55588
110558433,2928
110543609,8776
110545739,2817
110558425,57143
110548673,3029
110552402,6047
110557662,841
110547735,22998
110558904,55726
110558909,51768
110551216,1747
110549444,53340
110546472,10077
110548240,8839
110540707,58524
110564564,10402
110559173,9914
110551211,4804
110560391,50937
110560386,50937
110556339,6873
110545786,28996
110550972,23534
110549170,8625
110549210,54929
110549164,9170
110549351,5476
110549180,10147
110546924,6558
110549191,2139
110551315,1265
110560985,9627
110549554,11218
110546310,53339
110563003,55711
110563004,55711
110545261,8537
110541150,5449
110551320,22904
110552627,5378
110548543,10362
110565554,10203
110544147,6882
110543914,23294
110555589,8943
110543963,7629
110553036,9351
110553010,4913
110543891,54887
110545517,2773
110553002,3843
110548353,4942
110548357,4942
110555898,10885
110552267,5586
110551380,57418
110548310,9697
110551716,9423
110560195,9340
110552357,55388
110560806,1606
110560807,1606
110559383,2065
110547240,54763
110559866,91526
110554749,3735
110554746,23536
110547244,10954
110546574,55633
110544981,23013
110559161,55854
110552225,6416
110556977,55248
110550067,9892
110550382,9748
110550063,51167
110550375,1308
110550379,119391
110560541,55176
110556894,5588
110548506,7089
110554309,51665
110554701,83641
110550066,4199
110554837,23216
110545341,8621
110559321,10797
110559317,10797
110556291,55810
110547467,4904
110555768,5141
110556971,5525
110560727,1496
110562380,1496
110552924,7075
110561553,57609
110547413,6602
110552915,9682
110549952,4802
110547465,84217
110545368,6550
110552960,25791
110540306,259266
110540307,259266
110564802,8832
110552923,64834
110550731,6688
110564926,30834
110564927,30834
110557230,744
110563327,27107
110556445,4287
110543131,9950
110554946,2263
110564219,55631
110565787,55631
110546927,51015
110551778,2009
110555625,60487
110547866,55623
110558928,91283
110540230,26153
110555930,55102
110552851,10565
110558216,348158
110558215,348158
110559807,57623
110562185,9650
110556781,10734
110551310,2235
110551158,4649
110560913,5214
110540380,3422
110540381,3422
110558386,1316
110558764,8611
110556135,4756
110565719,23471
110548604,7132
110554278,782
110566330,7813
110554812,9399
110554818,9399
110549567,5315
110549643,54505
110553220,30836
110553200,79091
110556221,7158
110541575,7216
110549239,51018
110565123,387
110551906,1659
110559875,5590
110543571,7544
110547923,55699
110539483,6857
110557531,89795
110560444,3421
110545987,79641
